,menu,submenu,subsubmenu,url
71,filings,invit_private_issues,final_placement_memorandum_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=73&smid=76
72,filings,invit_private_issues,draft_placement_memorandum_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=73&smid=121
73,filings,invit_rights_issues,draft_letters_of_offer,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=89&smid=127
74,filings,invit_rights_issues,final_letters_of_offer,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=89&smid=124
75,filings,reit_issues,offer_document_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=74&smid=82
76,filings,reit_issues,draft_offer_document_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=74&smid=80
77,filings,reit_issues,final_offer_document_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=74&smid=83
78,filings,municipal_debt_securities_public_issues,draft_offer_document_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=87&smid=117
79,filings,municipal_debt_securities_public_issues,offer_document_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=87&smid=118
80,filings,municipal_debt_securities_privately_issues,preliminary_placement_memorandum_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=88&smid=119
81,filings,municipal_debt_securities_privately_issues,placement_memorandum_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=88&smid=120
82,reports_&_statistics,research,working_papers,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=81&smid=104
83,reports_&_statistics,research,investor_survey,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=81&smid=103
84,reports_&_statistics,research,sebi_drg_studies,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=81&smid=106
85,reports_&_statistics,research,research_papers/articles,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=81&smid=109
86,reports_&_statistics,publications,annual_reports,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=101
87,reports_&_statistics,publications,annual_statistics,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=102
88,reports_&_statistics,publications,handbook_of_statistics,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
89,reports_&_statistics,publications,monthly_sebi_bulletin,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=107
90,reports_&_statistics,publications,books_published_under_sebi's_moulik_hindi_pustak_lekhan_yojana,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=113
91,reports_&_statistics,publications,hindi_magazines,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=130
92,reports_&_statistics,publications,monthly_dashboard,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=134
93,reports_&_statistics,statistics,guidelines_for_seeking_data,https://www.sebi.gov.in/Guidelines_for_Data_Sharing.html
94,reports_&_statistics,statistics,curation_links_for_securities_market_data,https://www.sebi.gov.in/Curation_Links_for_Securities_Market_Data.html
95,reports_&_statistics,statistics,foreign_portfolio_investors_investments,https://www.sebi.gov.in/statistics/fpi-investment.html
96,reports_&_statistics,statistics,alternative_investment_funds_(aifs),https://www.sebi.gov.in/statistics/1392982252002.html
97,reports_&_statistics,statistics,corporate_bonds,https://www.sebi.gov.in/statistics/corporate-bonds.html
98,reports_&_statistics,statistics,investment_details_of_vcf/fvci,https://www.sebi.gov.in/statistics/investment-details-VCF-FVCI.html
99,reports_&_statistics,statistics,assets_managed_by_portfolio_managers,https://www.sebi.gov.in/statistics/assets-managed.html
100,reports_&_statistics,statistics,mutual_funds_investments,https://www.sebi.gov.in/sebiweb/other/mutualfunds.jsp
101,reports_&_statistics,statistics,corporate_filing_/_edifar,https://www.sebi.gov.in/edifar/edifar.html
